               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.021416,            0.016065,           0.0021432,             0.99518,             0.99252,             0.99471,             0.78074,            0.017591,            0.011128,           0.0013549,           0.0097674,           0.0097674,           0.0097674
                  49,            0.022055,            0.015823,           0.0020899,             0.99601,             0.99557,             0.99479,             0.77899,            0.017614,            0.011284,           0.0010689,           0.0097624,           0.0097624,           0.0097624
                  50,            0.020523,            0.015393,           0.0020511,             0.99671,             0.99557,              0.9947,             0.77958,            0.017363,            0.011106,           0.0012385,           0.0097575,           0.0097575,           0.0097575
                  51,            0.022097,            0.015643,           0.0019795,             0.99881,             0.99149,             0.99493,             0.77936,            0.017741,            0.011284,           0.0011574,           0.0097525,           0.0097525,           0.0097525
                  52,            0.019749,            0.014918,           0.0021048,             0.99654,             0.98625,             0.99475,             0.77778,            0.017401,            0.011145,           0.0016431,           0.0097476,           0.0097476,           0.0097476
                  53,            0.019597,            0.014643,           0.0018281,             0.98817,             0.99002,             0.99493,             0.75398,            0.018697,            0.011341,           0.0016252,           0.0097426,           0.0097426,           0.0097426
                  54,            0.019299,            0.014604,           0.0019459,             0.99451,             0.99336,             0.99494,             0.77165,            0.017966,            0.011115,           0.0015244,           0.0097377,           0.0097377,           0.0097377
                  55,            0.020453,            0.015691,           0.0018077,             0.99775,             0.99126,             0.99493,             0.78113,            0.017897,            0.011298,           0.0010601,           0.0097327,           0.0097327,           0.0097327
                  56,            0.020756,            0.015158,           0.0019922,             0.99807,             0.99556,             0.99481,             0.77614,            0.018081,            0.011467,            0.001093,           0.0097278,           0.0097278,           0.0097278
                  57,            0.021776,            0.015538,           0.0021212,             0.99602,             0.99337,             0.99498,             0.78381,            0.017461,             0.01132,          0.00098996,           0.0097228,           0.0097228,           0.0097228
                  58,            0.021022,            0.015555,           0.0018106,             0.99691,             0.99447,             0.99499,             0.75787,            0.018919,            0.011506,           0.0010119,           0.0097179,           0.0097179,           0.0097179
                  59,            0.020172,            0.015106,           0.0016713,             0.99709,             0.99447,             0.99498,             0.77761,            0.017537,            0.011137,           0.0011663,           0.0097129,           0.0097129,           0.0097129
                  60,            0.020126,            0.014577,           0.0018173,             0.99577,             0.99642,             0.99499,             0.77896,            0.017592,            0.011164,           0.0010955,            0.009708,            0.009708,            0.009708
                  61,            0.019648,            0.014431,           0.0018052,             0.99888,             0.99319,             0.99479,             0.78279,            0.017545,            0.011213,           0.0011738,            0.009703,            0.009703,            0.009703
                  62,            0.019718,            0.015412,           0.0018958,             0.99743,             0.99553,               0.995,             0.77258,            0.017702,            0.011284,           0.0011612,            0.009698,            0.009698,            0.009698
                  63,            0.019701,             0.01497,            0.001796,             0.99443,             0.99667,             0.99497,             0.78736,            0.017261,            0.011124,           0.0010292,           0.0096931,           0.0096931,           0.0096931
                  64,            0.018947,            0.014899,           0.0019215,             0.99782,             0.99624,             0.99491,             0.78589,            0.017366,             0.01108,           0.0010843,           0.0096881,           0.0096881,           0.0096881
                  65,            0.019687,            0.014346,           0.0018911,             0.99683,             0.99401,             0.99478,             0.77959,            0.018123,            0.011271,           0.0010341,           0.0096832,           0.0096832,           0.0096832
